Onliner ID;Раздел;Производитель;Товар;Артикул;id-предложения;Цена;Валюта;Описание предложения;Изготовитель;Импортер;Сервисный центр;Гарантия;Срок доставки по Минску;Срок доставки по РБ;Только для юр. лиц;Наличие на складе;В наличии на складе;Срок рассрочки по Халве;Onliner Prime;Цена по промокоду;Повышенная рассрочка Minipay;Кредит на «Родныя тавары»
11980;Шуруповерты, гайковерты, электроотвертки;Makita;6317DWDE (с 2-мя АКБ, кейс);6317DWDE;11980001;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Пильные полотна;BOSCH;Пилка лобз. по дереву/ламинату T101AOF (5 шт.) BOSCH;2608634233;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Пильные полотна;BOSCH;Пилка лобз. по металлу T118G (5 шт.) BOSCH;2608631012;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Наборы инструментов;BOSCH;Пилка лобз. по металлу T118A (1 шт.) BOSCH;2608631964;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Наборы инструментов;BOSCH;Пилка лобз. по металлу T218A (1 шт.) BOSCH;2608631706;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Пильные полотна;BOSCH;Пилка лобз. по алюминию T127D (1 шт.) BOSCH;2608631966;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Пильные полотна;BOSCH;Пилка лобз. по дереву T101AO (5 шт.) BOSCH;2608630031;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Наборы инструментов;BOSCH;Набор оснастки BOSCH Premium Set 91 предмет;2608P00235;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Биты, головки, насадки, держатели;BOSCH;Набор оснастки BOSCH Premium Set 105 предметов;2608P00236;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Биты, головки, насадки, держатели;BOSCH;Набор оснастки BOSCH Premium Set 49 предметов;2608P00233;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Биты, головки, насадки, держатели;BOSCH;Универс. магн. держатель для бит BOSCH 55 мм;2608522317;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Сверла, буры, зенкеры;BOSCH;Набор сверл  MultiConstruction 7 шт;2607010546;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Корнеудалитель 100см Xact FISKARS;1020126;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Лопата снеговая автомобильная алюминиевая FISKARS;1000740;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Топор туристический X5 XXS FISKARS;1015617;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Топор универсальный X7 XS FISKARS;1015618;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Топор универсальный X10 S FISKARS;1015619;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Топор-колун X11 S FISKARS;1015640;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Топор-колун X17 M FISKARS;1015641;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Топор-колун X21 L FISKARS;1015642;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Топор-колун X25 XL FISKARS;1015643;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Топор-колун X27 XXL FISKARS;1015644;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Грабли для листьев L без черенка Solid FISKARS;1014915;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Грабли Solid FISKARS;1016036;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Шпатель нержавеющий фасадный 600мм STARTUL PROFI (ST1013-600);ST1013-600;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Кельма шпаклевочная 140мм STARTUL MASTER (ST1033-14);ST1033-14;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Гладилка швейц.нерж.с дер.ручкой 130х480мм STARTUL MASTER (ST1055-48);ST1055-48;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Гладилка швейц.нерж.с дер.ручкой 130х580мм STARTUL MASTER (ST1055-58);ST1055-58;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Кельма для внешних углов 100х60х60мм STARTUL MASTER (ST1032-10);ST1032-10;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Кельма для внутренних углов 110х70х70мм STARTUL MASTER (ST1031-11);ST1031-11;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Ванночка малярная пластм. 270х290мм STARTUL MASTER (ST0801-27-29);ST0801-27-29;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Ванночка малярная пластм. 330х350мм STARTUL MASTER (ST0801-33-35);ST0801-33-35;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Перфораторы;MAKITA;Перфоратор MAKITA HR 4511 C в чем.;HR4511C;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Перфораторы;MAKITA;Перфоратор MAKITA HR 5202 C в чем.;HR5202C;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Перфораторы;MAKITA;Перфоратор MAKITA HR 5212 C в чем.;HR5212C;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Перфораторы;MAKITA;Перфоратор MAKITA HR 1840 в чем.;HR1840;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Перфораторы;MAKITA;Перфоратор MAKITA HR 2652 в чем. + система пылеудаления;HR2652;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Перфораторы;MAKITA;Перфоратор MAKITA HR 1841 F в чем.;HR1841F;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Пильные полотна;BOSCH;Пилка лобз. по дереву/ламинату T101BF (1 шт.) BOSCH;2608634988;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Пильные полотна;BOSCH;Пилка лобз. по дереву T101B (5 шт.) BOSCH;2608630030;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Сверла, буры, зенкеры;BOSCH;Сверло по бет. CYL-3 25х100х160мм;2608597675;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Сверла, буры, зенкеры;BOSCH;Набор сверл по бет. 5шт 4-10мм;2607019444;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Сверла, буры, зенкеры;BOSCH;Сверло монтажное 14x400mm;2608596338;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Насадка-сучкорез универсальный QuikFit FISKARS;1001410;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;FISKARS;Нож для минеральной ваты FISKARS;1001626;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Сучкорез контактный L39 FISKARS SingleStep c загнутыми лезвиями большой;1001430;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Сучкорез плоскостной c загн. лезвиями малый SingleStep L28 FISKARS;1001432;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Щетка 26-18,5см QuikFit FISKARS;1001417;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Щетка 26-29см QuikFit FISKARS;1001415;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Черенок алюминиевый графитовый телескопический QuikFit FISKARS;1000666;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Корнеудалитель 99-119 см SmartFit FISKARS;1020125;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Корнеудалитель 90 см Light FISKARS;1020127;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Гладилка пластмассовая 140х280мм STARTUL MASTER(ST1053);ST1053;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Терка пластм. с войлоком 130х270х3мм STARTUL MASTER (ST1061-01);ST1061-01;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Терка пластм. с войлоком 130х270х6,5мм STARTUL MASTER (ST1061-02);ST1061-02;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Терка пластм. с резиновым покр. 130х270х4мм STARTUL MASTER (ST1062-01);ST1062-01;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Терка пластм. с резиновым покр. 130х270х8мм STARTUL MASTER (ST1062-02);ST1062-02;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Терка пластм. с резиновой губкой 130х250х8мм STARTUL MASTER (ST1063-01);ST1063-01;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Терка пластм. с резиновой губкой 130х270х16мм STARTUL MASTER (ST1063-02);ST1063-02;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Терка пластм. с твердой губкой 120х260х18мм STARTUL MASTER (ST1064-01);ST1064-01;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Терка пластм. с твердой губкой 120х240х18мм STARTUL MASTER (ST1064-02);ST1064-02;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Терка пластм. с густой губкой 130х270х20мм STARTUL MASTER (ST1065-01);ST1065-01;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Терка пластм. с мягкой губкой 130х270х22мм STARTUL MASTER (ST1066-01);ST1066-01;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Терка пластм. с гидрогубкой 140х270х22мм STARTUL MASTER (ST1067-01);ST1067-01;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Терка пластм. с гидрогубкой надрез. 140х270х22мм STARTUL MASTER (ST1067-02);ST1067-02;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Шпатель нержавеющий фасадный 300мм STARTUL PROFI (ST1013-300);ST1013-300;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Шпатель нержавеющий фасадный 500мм STARTUL PROFI (ST1013-500);ST1013-500;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Краски и эмали;INRAL;Краска-эмаль аэроз. термостойкая силиконовая белый INRAL 400мл (9003);26-7-4-001;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Краски и эмали;INRAL;Краска-эмаль аэроз. термостойкая силиконовая алюминиевый INRAL 400мл (9006);26-7-4-002;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Наборы инструментов;PRO STARTUL;Набор ключей рожк. 6-22мм 8шт PRO STARTUL (PRO-1008);PRO-1008;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Перфораторы;MAKITA;Перфоратор MAKITA HR 2800 в чем.;HR2800;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Перфораторы;MAKITA;Перфоратор MAKITA HR 2641 в чем.;HR2641;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Перфораторы;MAKITA;Перфоратор MAKITA HR 2470 FT в чем.;HR2470FT;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Перфораторы;MAKITA;Перфоратор MAKITA HR 3200 C в чем.;HR3200C;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Перфораторы;MAKITA;Перфоратор MAKITA HR 4501 C в чем.;HR4501C;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Перфораторы;MAKITA;Перфоратор MAKITA HR 2470 в чем.;HR2470;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Перфораторы;MAKITA;Перфоратор MAKITA HR 2475 в чем.;HR2475;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Перфораторы;MAKITA;Перфоратор MAKITA HR 2631 FT в чем.;HR2631FT;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Перфораторы;MAKITA;Перфоратор MAKITA HR 4013 C в чем.;HR4013C;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Перфораторы;MAKITA;Перфоратор MAKITA HR 2300 в чем.;HR2300;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Перфораторы;MAKITA;Перфоратор MAKITA HR 2460 в чем.;HR2460;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Перфораторы;MAKITA;Перфоратор MAKITA HR 2600 в чем.;HR2600;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Перфораторы;MAKITA;Перфоратор MAKITA HR 2630 в чем.;HR2630;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Перфораторы;MAKITA;Перфоратор MAKITA HR 2810 в чем.;HR2810;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Перфораторы;MAKITA;Перфоратор MAKITA HR 2811 FT в чем.;HR2811FT;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Перфораторы;MAKITA;Перфоратор MAKITA HR 2811 F в чем.;HR2811F;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Перфораторы;MAKITA;Перфоратор MAKITA HR 2653 в чем. + система пылеудаления;HR2653;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Угловые шлифмашины (болгарки);ФИОЛЕНТ;Двуручная углошлифмашина ФИОЛЕНТ МШУ 1-20-230 А в кор.;ИДФР298135001-07;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Угловые шлифмашины (болгарки);ФИОЛЕНТ;Двуручная углошлифмашина ФИОЛЕНТ МШУ 1-23-230 Б в кор.;ИДФР298135001-05МК1;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Пильные полотна;BOSCH;Набор пилок лобз. по дереву BOSCH 10 шт.;2607011169;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Сверла, буры, зенкеры;BOSCH;Сверло перьев. 26х152мм;2608595495;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Сверла, буры, зенкеры;BOSCH;Сверло по бетону, граниту BlueGranite 15х160мм (2608597739);2608597739;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Грабли веерные мет. для листьев QuikFit FISKARS;1000644;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Грабли для уборки QuikFit FISKARS;1000656;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Грабли для уборки клумб QuikFit FISKARS;1000651;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Тяпка для уборки травы с дорожек QuikFit FISKARS;1000687;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Тяпка двойная QuikFit FISKARS;1000735;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Пила изогнутая QuikFit FISKARS;1000691;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Черенок алюминиевый графитовый 156см QuikFit FISKARS;1000661;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Черенок алюминиевый графитовый 84,5см QuikFit FISKARS;1000664;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Рукоятка универсальная  23,4см QuikFit FISKARS;1000663;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Пила садовая SW73 Xtract FISKARS;1000613;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Пила садовая SW75 FISKARS Xtract;1000614;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Кухонные ножи, ножницы, овощечистки, точилки;FISKARS;Точилка для топоров и ножей Xsharp FISKARS;1000601;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Пила строительная SW72 Xtract FISKARS;1000612;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Ножницы для травы GS42 FISKARS;1000589;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Щетка универсальная 38-18,5см QuikFit FISKARS;1001416;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Ножницы для живой изгороди HS22 с волнообразным лезвием FISKARS SingleStep;1001433;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Сучкорез плоскостной L38 FISKARS SingleStep c загнутыми лезвиями большой;1001426;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Терка Пенопласт, 140х1000мм STARTUL MASTER (ST1022-14-100);ST1022-14-100;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Гладилка швейц.нерж.с дер.ручкой 126х480мм зуб 8x8мм STARTUL MASTER (ST1056-08);ST1056-08;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Гладилка швейц.нерж.с дер.ручкой 126х480мм зуб 10x10мм STARTUL MASTER (ST1056-10);ST1056-10;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Гладилка нерж. 130х270мм зуб 6х6мм STARTUL MASTER (ST1050-26);ST1050-26;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Гладилка нерж. 130х270мм зуб 8х8мм STARTUL MASTER (ST1050-28);ST1050-28;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Гладилка нерж. 130х270мм зуб 10х10мм STARTUL MASTER (ST1050-21);ST1050-21;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Терка для пенопласта 120х260мм STARTUL MASTER (ST1029);ST1029;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Лестницы и стремянки;PRO STARTUL;Лестница алюм. 2-х секц. 299/550см 2х12 ступ., 12,0кг PRO STARTUL (ST9946-12);ST9946-12;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Лестницы и стремянки;Новая Высота;Лестница алюм. многофункц. трансформер 4х5 ступ. с настилом, 19.9кг NV2330 Новая высота;2330405;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Лестницы и стремянки;Новая Высота;Лестница-стремянка алюм. проф. 173см 8 ступ. 9,4кг NV3118 Новая Высота;3118108;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Лестницы и стремянки;Новая Высота;Лестница-стремянка алюм. проф. 195 см 9 ступ. 10,4кг NV3118 Новая Высота;3118109;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Лестницы и стремянки;Новая Высота;Лестница алюм. 2-х секц. 358/666/380см 2х14 ступ., 16кг  NV3220 Новая Высота;3220214;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Лестницы и стремянки;Новая Высота;Лестница алюм. 3-х секц. 358/926/380см 3х14 ступ., 23кг  NV3230 Новая Высота;3230314;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Лестницы и стремянки;STARTUL;Лестница телескопическая 1-секц. алюм. 260см, 9 ступ. 6,4кг STARTUL (ST9734-026);ST9734-026;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Лестницы и стремянки;STARTUL;Лестница алюм. многофункц. 4х3 ступ. (стрем.-175см, лестн.-360см) 10,5кг STARTUL (ST9732-03);ST9732-03;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Лестницы и стремянки;STARTUL;Лестница алюм. многофункц. 4х4 ступ. (стрем.-228см, лестн.-460см) 13кг STARTUL (ST9732-04);ST9732-04;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Лестницы и стремянки;STARTUL;Лестница алюм. многофункц. 4х5 ступ. (стрем.-280см, лестн.-570см) 14,6кг STARTUL (ST9732-05);ST9732-05;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Лестницы и стремянки;STARTUL;Лестница алюм. многофункц. 4х6 ступ. (стрем.-330см, лестн.-680см) 15,8кг STARTUL (ST9732-06);ST9732-06;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Лестницы и стремянки;STARTUL;Лестница телескопическая 2-х секц. алюм. 156/320см, 2х5 ступ. 11,1кг STARTUL (ST9733-032);ST9733-032;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Лестницы и стремянки;STARTUL;Лестница телескопическая 2-х секц. алюм. 209/440см, 2х7 ступ. 15кг STARTUL (ST9733-044);ST9733-044;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Лестницы и стремянки;STARTUL;Лестница телескопическая 1-секц. алюм. 320см, 11 ступ. 8,4кг STARTUL (ST9734-032);ST9734-032;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Лестницы и стремянки;STARTUL;Лестница телескопическая 1-секц. алюм. 380см, 13 ступ. 10,4кг STARTUL (ST9734-038);ST9734-038;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Лестницы и стремянки;Новая Высота;Лестница-помост алюм. 79 см 6 ступ. 11,3 кг NV1415 Новая Высота;1415206;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Заклепочник для резьбовых заклепок двуручный M3-M10 EXPERT STARTUL (SE4081);SE4081;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Заклепочник силовой двуручный 2,4-6,4мм EXPERT STARTUL (SE4082);SE4082;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Заклепочник усиленный 2,4-4,8мм EXPERT STARTUL (SE4083);SE4083;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Заклепочник усиленный 2,4-4,8мм  EXPERT STARTUL (SE4067);SE4067;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Строительный, слесарный, монтажный инструмент;STARTUL;Заклепочник силовой двуручный 3,2-6,4мм  EXPERT STARTUL (SE4068);SE4068;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Перфораторы;BOSCH;Перфоратор BOSCH PBH 2100 RE в чем. + набор оснастки;06033A9302;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Перфораторы;BOSCH;Перфоратор BOSCH PBH 2100 RE в чем.;06033A9320;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Аксессуары для пылесосов, пароочистителей;BOSCH;5 Бум.мешков для AdvancedVac 20;2609256F33;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Сверла, буры, зенкеры;BOSCH;Сверло по бет. CYL-3 16х100х160мм;2608597671;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Нож садовый изогнутый для прививок FISKARS;1001623;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Совок садовый Premium FISKARS;1000726;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Ножницы универсальные SP28 Single Step FISKARS;1000571;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Бур садовый малый FISKARS;1000636;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Бур садовый средний FISKARS;1000638;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Бур садовый большой FISKARS;1000640;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Садовый инструмент;FISKARS;Совок для рассады Premium FISKARS;1000727;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
