Onliner ID;Раздел;Производитель;Товар;Артикул;id-предложения;Цена;Валюта;Описание предложения;Изготовитель;Импортер;Сервисный центр;Гарантия;Срок доставки по Минску;Срок доставки по РБ;Только для юр. лиц;Наличие на складе;В наличии на складе;Срок рассрочки по Халве;Onliner Prime;Цена по промокоду;Повышенная рассрочка Minipay;Кредит на «Родныя тавары»
;Болты, винты, шпильки;STARFIX;Болт М10х30 мм шестигр., цинк, кл.пр. 5.8, DIN 933 (20 кг) STARFIX;SM-17483-20;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Болты, винты, шпильки;STARFIX;Болт М10х35 мм шестигр., цинк, кл.пр. 5.8, DIN 933 (20 кг) STARFIX;SM-17488-20;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Болты, винты, шпильки;STARFIX;Болт М10х40 мм шестигр., цинк, кл.пр. 5.8, DIN 933 (20 кг) STARFIX;SM-17493-20;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Болты, винты, шпильки;STARFIX;Болт М10х45 мм шестигр., цинк, кл.пр. 5.8, DIN 933 (20 кг) STARFIX;SM-17498-20;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Болты, винты, шпильки;STARFIX;Болт М10х50 мм шестигр., цинк, кл.пр. 5.8, DIN 933 (20 кг) STARFIX;SM-17503-20;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Болты, винты, шпильки;STARFIX;Болт М10х60 мм шестигр., цинк, кл.пр. 5.8, DIN 933 (20 кг) STARFIX;SM-17513-20;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Болты, винты, шпильки;STARFIX;Болт М10х90 мм шестигр., цинк, кл.пр. 5.8, DIN 933 (20 кг) STARFIX;SM-17543-20;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Болты, винты, шпильки;STARFIX;Болт М10х120 мм шестигр., цинк, кл.пр. 5.8, DIN 933 (20 кг) STARFIX;SM-17573-20;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Болты, винты, шпильки;STARFIX;Болт М10х140 мм шестигр., цинк, кл.пр. 5.8, DIN 933 (20 кг) STARFIX;SM-17593-20;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Болты, винты, шпильки;STARFIX;Болт М10х180 мм шестигр., цинк, кл.пр. 5.8, DIN 933 (20 кг) STARFIX;SM-17633-20;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Болты, винты, шпильки;STARFIX;Болт М12х30 мм шестигр., цинк, кл.пр. 5.8, DIN 933 (20 кг) STARFIX;SM-19483-20;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
;Болты, винты, шпильки;STARFIX;Болт М12х50 мм шестигр., цинк, кл.пр. 5.8, DIN 933 (20 кг) STARFIX;SM-19503-20;;0;BYN;;-;-;-;0;1;3;нет;;да;;нет;0;нет;нет
